claim,label
Sophia Stewart won a large judgment in a copyright infringement suit over authorship of the film The Matrix.,FALSE
Kay Jewelers regularly replaces diamonds with fakes or inferior stones during service and maintenance appointments.,FALSE
Texting the word 'HUNGER' to 35350 will cause Sam's Club to donate the monetary equivalent of 12 meals to a local food bank.,TRUE
Symbols embossed on the exterior surfaces of Oreo cookies link the product to the alleged conspiratorial activities of the Knights Templar and Freemasons.,FALSE
A photograph depicts a sign at Target informing customers purchasing pork or alcohol to choose another lane to accommodate Muslim employees.,FALSE
The U.S. government assigns Social Security numbers on the basis of race.,FALSE
"Panhandling is a lucrative business, averaging an hourly rate of $50.",FALSE
Macy's pulled funding from Planned Parenthood in December 2016 under pressure from anti-abortion groups.,FALSE
"Nordstrom sells a rock in a leather pouch for $85, and a smaller version for $65.",TRUE
Target.com or Target blocked Israel from accessing and shopping their web site.,FALSE
"The company Harry & David had no concerns about advertising with Breitbart, saying they were ""neutral"" on issues of racism and anti-Semitism.",FALSE
United Airlines will begin charging for overhead bin space.,FALSE
Iconic legacy fragrance Chanel No. 5 will be discontinued because the construction of a train track in France threatens its flower supply chain.,FALSE
Ace Hardware is refusing to sell propane to Dakota Access pipeline protesters.,FALSE
Trump arranged a deal with Carrier that kept a thousand jobs in the United States.  ,TRUE
An activist group has launched a holiday-season boycott against chain retailer Target.,TRUE
"A phone number posted on a ""consumer watchdog"" site belongs to a college loan servicer.",FALSE
"Baseball's championship competition is known as the ""World Series"" because it was originally sponsored by the New York World newspaper.",FALSE
A woman sued a radio station when the Hummer she won in their contest turned out to be a toy rather than a full-sized vehicle.,TRUE
The Ford Motor Company donated $100 million to the Black Lives Matter movement.,FALSE
A new government program gives all taxpaying Americans the right to collect ‘cash rebates’ on nearly every single purchase.,FALSE
The country of Sweden is officially moving to a 6-hour workday.,FALSE
"A young couple was assaulted in Chicago, causing them to move back to Arizona after just one day in the city.",FALSE
A KFC promotion offered Extra Crispy Sunscreen to consumers.,TRUE
"Ron Wayne was a third Apple co-founder, who in 1976 sold his 10% share in the company for $800",TRUE
"If you swipe a chipped card debit/credit at a point-of-sale terminal instead of inserting it into the reader, you become liable for any fraudulent transactions.",FALSE
Monsanto has purchased or merged with the Whole Foods Market grocery chain.,FALSE
"A North Carolina provider of mental health services is named ""Nutz R Us.""",TRUE
JetBlue is offering free flights to Orlando for family members and partners of the victims of the Pulse Nightclub shooting.,TRUE
"A couple bought a ""Princess"" Beanie Baby worth £62,500 for just £10.",FALSE
"Budweiser is changing its name to ""America.""",TRUE
Nike makes their sneakers with elephant skins.,FALSE
An image shows a curt response from a Target customer service representative.,FALSE
Costco lied about carrying cage-free eggs in their stores.,FALSE
Cell phone companies began charging users for SMS emojis (emoticons) in February 2016.,FALSE
Apple CEO Tim Cook wrote an open letter to customers explaining why the company was fighting a court order to unlock an iPhone tied to the San Bernardino attack.,TRUE
Cold Stone Creamery is giving free or discounted ice cream to female customers that appear to be pregnant.,FALSE
"McDonald's is getting rid of its ""Dollar Menu"" come 2016.",FALSE
"In accordance with a requirement of their original Royal Charter, the Hudson's Bay Company of Canada makes annual payments of elk and beaver pelts to the Queen of England.",FALSE
"President Obama has decreed that the phrase ""In God We Trust"" be removed from all U.S. currency.",FALSE
Locks of Love sells most donated hair for profit and charges ailing children exorbitant amounts for wigs.,FALSE
"McDonald's buys their meat from a company called '100% Beef,' which allows them to legally but deceptively claim they use 100% beef in their hamburgers.",FALSE
Fox News won a 2004 court case allowing the cable channel to lie to viewers.,FALSE
An Article accurately compares the salaries of top executives of several large charitable organizations.,FALSE
"A loon appears on Canada's one-dollar coin because the original dies, featuring a different design, were lost in transit.",TRUE
The Canada Dry beverage company got its name because it produced alcohol-free beverages during Prohibition.,FALSE
Entering your PIN in reverse at any ATM will summon the police.,FALSE
"NASA spent millions of dollars developing an 'astronaut pen' that would work in outer space, while the Soviets fixed the problem much more cheaply and quickly by using pencils.",FALSE
"Starbucks refused free product to Marines serving in Iraq, saying the company didn't support the war or anyone taking part in it.",FALSE
A N.Y. high schooler earned $72 million in the stock market,FALSE
An oil pipeline exploded in Saudi Arabia,FALSE
Claim Hewlett-Packard will split itself into two separate companies,TRUE
Tesla is building its gigfactory in Nevada,TRUE
Two locations in the U.S. are still serving the original McDonald's pizza,FALSE
Saudi Arabia's national airline will introduce gender segregation on flights,FALSE
McDonald's will stop serving the Big Mac,FALSE
A N.Y. high schooler earned $72 million in the stock market,FALSE
An oil pipeline exploded in Saudi Arabia,FALSE
Claim Hewlett-Packard will split itself into two separate companies,TRUE
Tesla is building its gigfactory in Nevada,TRUE
Big Bank Hank of the Sugarhill Gang is dead,TRUE
Claim Hewlett-Packard will split itself into two separate companies,TRUE
Tesla is building its gigfactory in Nevada,TRUE
The final Marines to leave the U.S. embassy in Yemen handed their weapons over to Houthi rebels,FALSE
A Texas plumbing company's truck is now being used by militant Islamist fighters in Syria,TRUE
Big Bank Hank of the Sugarhill Gang is dead,TRUE
Claim Hewlett-Packard will split itself into two separate companies,TRUE
Tesla is building its gigfactory in Nevada,TRUE
KFC restaurants in Colorado will start selling marijuana,FALSE
Italian fishermen caught a 280-pound catfish,TRUE
Willie Nelson is dead,FALSE
An Alaska Airlines plane was delayed when a scorpion stung a woman onboard,TRUE
"A Michigan pizza delivery guy received a $2,084 tip",TRUE
"Michele Bachmann said ""If blacks had been allowed to own guns in the 1960s, Dr. [Martin Luther] King might well be alive today.""",FALSE
A Texas plumbing company's truck is now being used by militant Islamist fighters in Syria,TRUE
Big Bank Hank of the Sugarhill Gang is dead,TRUE
Claim Hewlett-Packard will split itself into two separate companies,TRUE
Tesla is building its gigfactory in Nevada,TRUE
"Says ""Snoop Dogg arrested for conspiracy after talking about his ‘murder Trump’ video.""",FALSE
Top Democrats refuse to stand for Gold Star widow.,TRUE
"Says Sen. John McCain was ""caught making highly illegal phone call to foreign country.""",TRUE
"Says Donald Trump was ""caught investing in (the) Dakota Pipeline before signing it.""",TRUE
