id,Company Name (Original),Company Name (Fixed),Text,sentiment score,# Scores
0_Cuadrilla,Cuadrilla,Cuadrilla,Cuadrilla files to delay application to frack in Lancashire,-0.416,3
1_Royal Mail,Royal Mail,Royal Mail,Royal Mail chairman Donald Brydon set to step down,-0.374,3
10_EasyJet,EasyJet,EasyJet,UPDATE 2-EasyJet sees better first half on lower fuel bill,0.778,3
100_Weir,Weir,Weir Group,Slump in Weir leads FTSE down from record high,-0.827,3
1000_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca wins FDA approval for key new lung cancer pill,0.549,3
1001_Sainsbury,Sainsbury,Sainsbury's,Sainsbury chief warns of squeeze on high street retailers,-0.397,3
1002_Lloyds,Lloyds,Lloyds Banking Group PLC,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,-0.266,2
1003_Primark,Primark,Primark,Primark plots expansion in US and Europe,0.326,2
1005_Standard Chartered,Standard Chartered,Standard Chartered PLC,Standard Chartered Shifts Emerging-Markets Strategy After Losses,-0.461,3
1006_Barclays,Barclays,Barclays,Barclays fined for anti-money-laundering failings,-0.811,3
1007_Barclays,Barclays,Barclays,UPDATE 3-Barclays fined for lax crime checks in 'deal of century',-0.829,3
1011_easyJet,easyJet,EasyJet,Easyjet targets business travellers with new perks,0.147,2
1012_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,0.393,2
1014_GSK,GSK,GSK,GSK aims to file up to 20 new drugs for approval by 2020,0.422,3
1016_Severn Trent,Severn Trent,Severn Trent,Severn Trent share price rises as first half profit inches up as customer ...,0.526,3
1017_M&G Investments,M&G Investments,M&G Investments,Prudential knocked after investors withdraw Â£3.9bn from M&G,-0.778,3
1019_United Utilities,United Utilities,United Utilities,CompaniesUnited Utilities H1 profits just miss expectations,-0.37,3
1022_Glencore,Glencore,Glencore,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,0.037,3
1023_Lloyds,Lloyds,Lloyds Banking Group PLC,Lloyds to cut 945 jobs as part of three-year restructuring strategy,-0.532,3
1024_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca to Buy ZS Pharma for $2.7 Billion,0.551,3
1024_ZS Pharma,ZS Pharma,ZS Pharma,AstraZeneca to Buy ZS Pharma for $2.7 Billion,0.593,3
1025_Valeant,Valeant,Valeant Pharmaceuticals International,"Ackman, in email, says supports Valeant CEO Pearson",0.166,2
1026_Severn Trent,Severn Trent,Severn Trent,Severn Trent profit up as customer complaints fall,0.472,3
1027_Experian,Experian,Experian,Experian says receives class actions related to T-Mobile breach,-0.698,2
1029_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca sells US drug rights to Perrigo for $380 mln,0.261,3
1029_Perrigo,Perrigo,Perrigo,AstraZeneca sells US drug rights to Perrigo for $380 mln,0.326,3
103_Hammerson,Hammerson,Hammerson,Landlord Hammerson's NAV rises on increased leasing activity,0.659,3
1031_National Grid,National Grid,National Grid,CompaniesNational Grid lines up sale of gas business,0.136,3
1032_AstraZeneca,AstraZeneca,AstraZeneca,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",0.524,3
1032_ZS Pharma,ZS Pharma,ZS Pharma,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",0.468,3
1033_Dyax,Dyax,Dyax,CORRECTED-Shire to buy Dyax for about $5.9 bln,0.62,3
1033_Shire,Shire,Shire,CORRECTED-Shire to buy Dyax for about $5.9 bln,0.402,3
1034_British American Tobacco,British American Tobacco,British American Tobacco plc,British American Tobacco accused of bribing senior politicians to sabotage ...,-0.794,3
1035_MillerCoors,MillerCoors,MillerCoors,"UPDATE 2-AB InBev launches SAB bid, to sell MillerCoors stake",-0.119,2
1036_Volkswagen,Volkswagen,Volkswagen,Germany lags European share rally as Volkswagen scandal widens,-0.803,3
1038_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,0.583,3
1038_ZS Pharma,ZS Pharma,ZS Pharma,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,0.52,3
1039_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca shares climb 3% as drug maker ups profits forecasts,0.64,3
1040_InBev,InBev,InBev,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,0.307,3
1040_SABMiller,SABMiller,SABMiller,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,0.551,2
1043_Randgold Resources,Randgold Resources,Randgold Resources,Randgold Resources third quarter profit slips despite record production,-0.39,3
1044_easyJet,easyJet,EasyJet,easyJet expects resilient demand to withstand security fears,0.165,3
1045_Compass Group,Compass Group,Compass Group,Compass Group says positive for year ahead,0.634,3
1046_Associated British Foods,Associated British Foods,Associated British Foods,"Associated British Foods Profit Hit by Strong Sterling, Tough Sugar Business",-0.466,2
