,Link,Claim,Status,Date
0,https://www.snopes.com/fact-check/whataburger-changing-colors/,"The restaurant chain Whataburger is changing their signature colors to blue, black, and white. ",False,11 July 2019
1,https://www.snopes.com/fact-check/chase-bank-deleted-tweet/,Chase Bank deleted a tweet advising consumers to shore up low account balances by not eating out or buying coffee.,True,29 April 2019
2,https://www.snopes.com/fact-check/does-nike-own-chevrolet/,The Nike sports apparel company owns the Chevrolet automobile brand.,False,12 September 2018
3,https://www.snopes.com/fact-check/nike-workplace-ban/,"In September 2018, a company banned their employees from wearing Nike products in the workplace.",Unproven,7 September 2018
4,https://www.snopes.com/fact-check/gatorade-bottles-cap-holder/,Gatorade bottles were designed with a built-in cap holder in the bottom.,False,28 August 2018
5,https://www.snopes.com/fact-check/federal-rent-checks/,"Americans can collect ""Federal Rent Checks"" by using Public Law 92-313 to their benefit.",Mixture,3 August 2018
6,https://www.snopes.com/fact-check/did-ceo-harley-davidson-trump-moron/,"Harley-Davidson's chief executive officer Matthew Levatich called President Trump ""a moron.""",False,27 June 2018
7,https://www.snopes.com/fact-check/armour-garments-flammable/,Under Armour garments are more flammable than other garments of their type.,Unproven,20 June 2018
8,https://www.snopes.com/fact-check/dominos-pizza-paving/,"In mid-2018, Domino's Pizza began giving cities and towns grants for street repairs.",True,14 June 2018
9,https://www.snopes.com/fact-check/jiftip-condom-penis/,"In 2017 and 2018, teenage boys widely purchased and used a urethra-covering adhesive band called the Jiftip.",Mixture,12 June 2018
10,https://www.snopes.com/fact-check/have-children-fined-lemonade-stands/,"Children have been fined for operating lemonade stands without a permit, or ordered to obtain expensive permits.",Mostly True,8 June 2018
11,https://www.snopes.com/fact-check/ivanka-trumps-line-rebranded-adrienne-vittadini/,"In June 2018, Ivanka Trump adopted the alias ""Adrienne Vittadini"" to market her fashion line to unwitting buyers.",Mostly False,4 June 2018
12,https://www.snopes.com/fact-check/radio-interview-ocasio-cortez/,A meme transcribes a portion of a radio interview with U.S. Rep. Alexandria Ocasio-Cortez.,Correct Attribution,19 July 2019
13,https://www.snopes.com/fact-check/weaponized-ticks/,The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.,True,19 July 2019
14,https://www.snopes.com/fact-check/priest-pushed-off-brazil-stage/,"A video shows a woman pushing a priest off a stage after he said, ""Fat women cannot go to heaven.""",Miscaptioned,19 July 2019
15,https://www.snopes.com/fact-check/fox-news-profanity-laced-attack/,"Fox News reported that U.S. Rep. Ilhan Omar had delivered a ""profanity-laced attack on President Trump"" by repeating Trump's own words.",True,19 July 2019
16,https://www.snopes.com/fact-check/minnesota-schools-arabic/,Minnesota public schools made learning Arabic mandatory.,False,19 July 2019
17,https://www.snopes.com/fact-check/average-minimum-wages-big-mac-prices/,"A meme circulating online shows the average minimum wages in France, Australia, and the U.S. as well as the average cost of a Big Mac in each country.",Mixture,9 May 2018
18,https://www.snopes.com/fact-check/neutrogena-makeup-remover-wipes/,Neutrogena Makeup Remover Cleansing Towelettes are causing a number of severe allergic reactions.,Unproven,7 May 2018
19,https://www.snopes.com/fact-check/pay-bridge-electrical-bill/,"A Kentucky business owner found out he had been paying the electric bills of an Ohio River bridge, in addition to his own, for five months.",True,1 May 2018
20,https://www.snopes.com/fact-check/rihanna-snapchat/,Rihanna's Instagram message to followers to throw away the Snapchat app caused the company's share value to fall by hundreds of millions of dollars in one day.,Mostly True,20 March 2018
21,https://www.snopes.com/fact-check/karl-marx-banknote-released-germany/,A zero value banknote was released in honor of Karl Marx's 200th birthday.,Mostly True,20 March 2018
22,https://www.snopes.com/fact-check/super-antenna-octa-air-legitimate-replacement-cable/,"A new ""super"" antenna called Octa Air is a legitimate replacement for cable that can provide customers with 100s of free HDTV channels.",Mixture,19 March 2018
23,https://www.snopes.com/fact-check/was-all-female-responsible-bridge-collapse/,"Munilla Construction Management, the construction firm that built the bridge at Florida International University that collapsed in March 2018, is an all-female company.",False,19 March 2018
24,https://www.snopes.com/fact-check/toys-r-us-closing-locations-not-accepting-gift-cards/,Toys R Us is closing all stores and gift cards are soon-to-be or no longer have value.,Mostly True,14 March 2018
25,https://www.snopes.com/fact-check/harley-davidson-steel-tariffs/,Harley-Davidson announced in March 2018 that they were closing a Wisconsin plant and moving all manufacturing to Thailand in response to President Donald Trump's just-announced steel tariffs.,Mostly False,12 March 2018
26,https://www.snopes.com/fact-check/mcdonalds-restaurants-flipping-womens-day/,McDonald's restaurants are turning their iconic gold arches upside down to celebrate International Women's Day.,Mostly True,8 March 2018
