Unique,Text,Average Score,Type,source_id
15092$ZSL,"$ZSL looking very weak, could be a good short setup.",-0.614,stocktwits,5711044
15274$ZNGA,$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,0.248,stocktwits,8011704
15398$ZNGA,$ZNGA did they prerelease sh*tty earnings or something,-0.31,stocktwits,7706929
15415$ZNGA,#ContrarianAlert: Why Zynga Failed - http://stks.co/mC0R $ZNGA,-0.361,stocktwits,9862989
15939$ZNGA,"""@IfHeDiesHeDies: ""@Bullhorn334: $ZNGA shorts are getting nervous""""",0.366,stocktwits,11964100
16632$ZNGA,"$ZNGA it's the times when you start to wonder ""do i have enough shares ??? this beast keeps moving..""",0.429,stocktwits,25895748
15609$ZNGA,$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,-0.284,stocktwits,8980267
15637$ZMH,"Following this morning's EPS, I blew out $ZMH and added to $DNKN (longs)",-0.462,stocktwits,7744550
16848$ZIOP,"@dolleyman No worries, I always said there`d be sucker rallies on $ZIOP 's down trend, congrats.",-0.405,stocktwits,37340646
16134$ZC_F,"$ZC_F One thing you can't short here is $DBA food. Its barely getting warm in chicago, and it looks like drought conditions in soil already",-0.122,stocktwits,13451804
14930$ZAGG,$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,0.385,stocktwits,5582293
15782$YUM,$YUM OPPY reduces its price target on Yum Brands (YUM) to $74 from $82 after factoring in the troubles the company is seeing in China.,-0.491,stocktwits,11442073
15670$YOKU,Chinese ADR's are heading higher watchlist $YOKU $DANG $RENN,0.298,stocktwits,7820993
16121$YOKU,"$YOKU high volume blast off Friday, goes higher  http://stks.co/qSaL",0.565,stocktwits,15804623
15843$YNDX,"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",0.531,stocktwits,18419992
16868$YNDX,"$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX
http://stks.co/b1kD8",-0.17,stocktwits,32968483
14899$YMI,$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,0.444,stocktwits,5364779
15127$YHOO,@bpeck In response to your thoughts on $YHOO about Nikesh.  I don't think is the right fit for visionary aspects.,-0.296,stocktwits,6117808
15153$YHOO,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",0.194,stocktwits,6235857
15226$YHOO,These companies shld be worried about iCloud $goog $sfly $nflx $emc $vmw $yhoo $msft,-0.329,stocktwits,5806487
15763$YHOO,$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,0.389,stocktwits,15715060
15853$YHOO,$YHOO Long sum moe http://stks.co/huiU from http://stks.co/juPh,0.383,stocktwits,17298998
15260$YELP,$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,-0.451,stocktwits,10297190
15308$YELP,"RT @The_Real_Fly: I'm gonna keep it G-rated for your muppets. $YELP is going, the ruck, higher. I'm out.",-0.001,stocktwits,8534262
15990$YELP,"""@Tstrar: @optiongoddess $YELP looking good""",0.4,stocktwits,18365036
16223$YELP,$YELP This goes green and so many shorts are toast!,0.463,stocktwits,23834287
16260$YELP,$SPY gold going parabolic... wonder why? $FEYE $P $YELP... keep chasing those tops boys.,0.442,stocktwits,19129771
16272$YELP,@StocksThatTalks why aren't you loading up on $YELP than? Future profits will be huge. Surely you aren't investing in this stock based on Q1,0.294,stocktwits,22695238
16732$YELP,"@IronLion @jameslast Not surprising they would pull something like that, considering small businesses have called $YELP a scam for years.",-0.45,stocktwits,36672935
15563$YELP,"PAIN http://stks.co/g1N8 $RBCN, $YELP, $VHC",-0.4,stocktwits,8558993
16765$YANG,$YANG Double bottom 5.2,0.23,stocktwits,35467963
16444$XRS,Found some good bull setups this week: $REGN $XRS $SNCR $TJX $NTES $ABC $ECHO $AMAG $HAWK $PANW $TAM $AGN --> Let's see if mkt helps out,0.448,stocktwits,28165236
16996$XOMA,$XOMA sold xoma.. will buy back on April 1.,-0.069,stocktwits,33532903
15154$XOM,"Buy stop above 80, as it retakes its 200 day MA $XOM http://chart.ly/tq5ql4d",0.295,stocktwits,5430926
14997$XLU,"#sectorbreadth Utilities ($XLU) enjoyed the best of the action, but all sectors improved in bullish breadth.",0.647,stocktwits,6061294
15964$XLU,seriously nothing says strong growth like $XLU and $XLP - well played,0.312,stocktwits,13132243
17037$XLU,$XLU long April $44 calls http://stks.co/b1t04,0.725,stocktwits,33983714
15964$XLP,seriously nothing says strong growth like $XLU and $XLP - well played,0.312,stocktwits,13132243
14986$XLF,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",-0.299,stocktwits,5948586
15046$XLF,RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,-0.443,stocktwits,6139459
15999$XLF,$XLF looking good.  Just need 9/10 to stay as support.  Note that it broke this area on lighter volume. Not a good sign but it is what it is,0.255,stocktwits,11433855
16178$XLF,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,0.394,stocktwits,18249994
17108$XLE,energy still failing to close above the 10D MA.  continues to stand out weak $XLE,-0.517,stocktwits,37081094
15777$XLB,$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,-0.458,stocktwits,12110894
16374$XEL,"No, It’s Not Time To Buy Energy Stocks Yet! http://stks.co/e1Kqd $WTIC $XEL $USO $OIH",-0.382,stocktwits,29978808
14874$XCO,$xco cap ex info not positive - but remain bullish - will be looking for an entry - this will have to be a long term view,0.392,stocktwits,5845193
15391$XBI,RT @Montisumo Down day for all biotechs Good to load up Be confident. $ONTY $CHTP $AIS $HGSI $DNDN >> Agreed $IBB $XBI all same downness,0.12,stocktwits,6783339
16978$X,Long $X 24.62,0.601,stocktwits,32436247
17056$X,"$AKS Well here you go..at least you know what sector will be white hot next week..huge buy in all these names..$AKS,$NUE,$STLD,$X..nice work",0.608,stocktwits,37312789
15051$WYNN,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",-0.424,stocktwits,5466785
15360$WYNN,$WYNN big bounce,0.61,stocktwits,7311916
15586$WYNN,$IBM was THE play today but this $WYNN aint bad iether,0.345,stocktwits,9756290
17079$WYNN,$WYNN I'm going in tomorrow evening :-) $100 limit order,0.394,stocktwits,39048791
